genome	genome_accession	ncbi_protein_accession	mist_protein_accession	protein_type	source	protein_length	domain_architecture	sensors_or_regulators	domain_counts	domains
GCF_900637295.1	GCF_900637295	WP_051281270.1	GCF_900637295.1-EL266_RS04265	hk	mistdb	543	hole:1-226,HAMP:227-278,HisKA:289-355,HATPase_c:408-531	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_900637295.1	GCF_900637295	WP_051281288.1	GCF_900637295.1-EL266_RS02055	hk	mistdb	497	hole:1-202,HisKA_3:203-270	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_900637295.1	GCF_900637295	WP_026426328.1	GCF_900637295.1-EL266_RS03125	hk	mistdb	483	hole:1-212,HisKA_3:213-259	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_900637295.1	GCF_900637295	WP_126412423.1	GCF_900637295.1-EL266_RS01225	hk	mistdb	322	HisKA_3:65-131	nodomain	HisKA_3:1	HisKA_3
GCF_900637295.1	GCF_900637295	WP_084501091.1	GCF_900637295.1-EL266_RS00655	hk	mistdb	431	hole:1-139,HAMP:140-190,HisKA:194-261,HATPase_c:303-413	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_900637295.1	GCF_900637295	WP_084501111.1	GCF_900637295.1-EL266_RS00605	hk	mistdb	562	hole:1-235,HisKA_3:236-303	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009746883.1	GCF_000195595.1-HMPREF9056_RS09890	hk	mistdb	702	GAF_2:94-255,GAF_2:283-422,HisKA_3:438-517	GAF_2,GAF_2	GAF_2:2,HisKA_3:1	GAF_2,HisKA_3
GCF_000195595.1	GCF_000195595	WP_087942245.1	GCF_000195595.1-HMPREF9056_RS09820	hk	mistdb	505	hole:1-207,HAMP:208-256,HisKA:260-324,HATPase_c:365-476	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_009404454.1	GCF_000195595.1-HMPREF9056_RS08430	hk	mistdb	279	HisKA_3:59-127	nodomain	HisKA_3:1	HisKA_3
GCF_000195595.1	GCF_000195595	WP_009404440.1	GCF_000195595.1-HMPREF9056_RS08380	hk	mistdb	437	hole:1-204,HisKA_3:205-270	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_034514556.1	GCF_000195595.1-HMPREF9056_RS12615	hk	mistdb	393	hole:1-176,HisKA_3:177-243	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009747126.1	GCF_000195595.1-HMPREF9056_RS12535	hk	mistdb	404	hole:1-188,HisKA_3:189-256	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009747047.1	GCF_000195595.1-HMPREF9056_RS12210	hk	mistdb	561	hole:1-240,HisKA_3:241-308	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_034514576.1	GCF_000195595.1-HMPREF9056_RS11975	hk	mistdb	489	hole:1-261,HisKA_3:262-338,HATPase_c_2:351-460	nodomain	HATPase_c_2:1,HisKA_3:1,hole:1	HATPase_c_2,HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009746982.1	GCF_000195595.1-HMPREF9056_RS11925	hk	mistdb	422	hole:1-204,HisKA_3:205-268	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009746976.1	GCF_000195595.1-HMPREF9056_RS11905	hk	mistdb	532	hole:1-212,HAMP:213-262,<HisKA>:217-365,HATPase_c:366-479	HAMP	<HisKA>:1,HAMP:1,HATPase_c:1,hole:1	<HisKA>,HAMP,HATPase_c,hole
GCF_000195595.1	GCF_000195595	WP_009403781.1	GCF_000195595.1-HMPREF9056_RS06020	hk	mistdb	454	PspC:51-106,<HisKA>:188-336,HATPase_c_2:337-437	PspC	<HisKA>:1,HATPase_c_2:1,PspC:1	<HisKA>,HATPase_c_2,PspC
GCF_000195595.1	GCF_000195595	WP_009403763.1	GCF_000195595.1-HMPREF9056_RS05945	hk	mistdb	413	hole:1-212,HisKA_3:213-279	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009403709.1	GCF_000195595.1-HMPREF9056_RS05750	hk	mistdb	442	hole:1-210,HisKA_3:211-276	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009403930.1	GCF_000195595.1-HMPREF9056_RS06580	hk	mistdb	491	H_kinase_N:5-147,PAS_4:173-280,HisKA_2:294-367,HATPase_c:388-484	H_kinase_N,PAS_4	HATPase_c:1,H_kinase_N:1,HisKA_2:1,PAS_4:1	HATPase_c,H_kinase_N,HisKA_2,PAS_4
GCF_000195595.1	GCF_000195595	WP_034513325.1	GCF_000195595.1-HMPREF9056_RS01800	hk	mistdb	626	hole:1-237,HAMP:238-287,HisKA:298-366,HATPase_c:412-523	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_009402176.1	GCF_000195595.1-HMPREF9056_RS01455	hk	mistdb	358	hole:1-124,HisKA:125-190,HATPase_c:232-336	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_034513285.1	GCF_000195595.1-HMPREF9056_RS01380	hk	mistdb	420	Sensor:19-206,HisKA_3:229-296	Sensor	HisKA_3:1,Sensor:1	HisKA_3,Sensor
GCF_000195595.1	GCF_000195595	WP_087942222.1	GCF_000195595.1-HMPREF9056_RS07420	hk	mistdb	576	hole:1-328,HisKA:329-398,HATPase_c:458-573	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_034514222.1	GCF_000195595.1-HMPREF9056_RS07380	hk	mistdb	305	HisKA:77-141,HATPase_c:190-300	nodomain	HATPase_c:1,HisKA:1	HATPase_c,HisKA
GCF_000195595.1	GCF_000195595	WP_034514184.1	GCF_000195595.1-HMPREF9056_RS07305	hk	mistdb	412	hole:1-153,HisKA:154-220,HATPase_c:265-380	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_009404018.1	GCF_000195595.1-HMPREF9056_RS07515	hk	mistdb	449	hole:1-174,HisKA_3:175-251	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009402687.1	GCF_000195595.1-HMPREF9056_RS03025	hk	mistdb	504	hole:1-247,HisKA_3:248-329	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009405289.1	GCF_000195595.1-HMPREF9056_RS11565	hk	mistdb	391	hole:1-195,HisKA_3:196-263	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009405281.1	GCF_000195595.1-HMPREF9056_RS11535	hk	mistdb	364	hole:1-165,HisKA_3:166-233	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009405233.1	GCF_000195595.1-HMPREF9056_RS11325	hk	mistdb	392	hole:1-176,HisKA_3:177-244	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_087942176.1	GCF_000195595.1-HMPREF9056_RS03420	hk	mistdb	541	hole:1-229,HisKA_3:230-296	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009402798.1	GCF_000195595.1-HMPREF9056_RS03380	hk	mistdb	424	hole:1-200,HisKA_3:201-268	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009402780.1	GCF_000195595.1-HMPREF9056_RS03305	hk	mistdb	350	hole:1-134,HisKA_3:135-200	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009404942.1	GCF_000195595.1-HMPREF9056_RS10470	hk	mistdb	531	hole:1-227,HAMP:228-278,HisKA:290-356,HATPase_c:409-529	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_009403323.1	GCF_000195595.1-HMPREF9056_RS04635	hk	mistdb	412	hole:1-129,HAMP:130-180,HisKA:184-251,HATPase_c:293-405	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000195595.1	GCF_000195595	WP_009403295.1	GCF_000195595.1-HMPREF9056_RS04555	hk	mistdb	431	hole:1-198,HisKA_3:199-266	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009401674.1	GCF_000195595.1-HMPREF9056_RS13200	hk	mistdb	401	hole:1-193,HisKA_3:194-261,HATPase_c:304-400	nodomain	HATPase_c:1,HisKA_3:1,hole:1	HATPase_c,HisKA_3,hole
GCF_000195595.1	GCF_000195595	WP_009405411.1	GCF_000195595.1-HMPREF9056_RS13015	hk	mistdb	374	HisKA_3:83-149	nodomain	HisKA_3:1	HisKA_3
GCF_000195595.1	GCF_000195595	WP_009405062.1	GCF_000195595.1-HMPREF9056_RS11030	hk	mistdb	488	hole:1-230,HisKA_3:231-298	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009750235.1	GCF_000220835.1-HMPREF9062_RS11055	hk	mistdb	359	hole:1-125,HisKA:126-191,HATPase_c:233-336	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000220835.1	GCF_000220835	WP_009750065.1	GCF_000220835.1-HMPREF9062_RS10255	hk	mistdb	412	hole:1-203,HisKA_3:204-271	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_034254300.1	GCF_000220835.1-HMPREF9062_RS11730	hk	mistdb	510	hole:1-213,HisKA_3:214-281	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009750342.1	GCF_000220835.1-HMPREF9062_RS11595	hk	mistdb	426	hole:1-209,HisKA_3:210-283	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_034254107.1	GCF_000220835.1-HMPREF9062_RS09140	hk	mistdb	655	GAF_2:83-217,GAF_2:245-384,HisKA_3:400-474	GAF_2,GAF_2	GAF_2:2,HisKA_3:1	GAF_2,HisKA_3
GCF_000220835.1	GCF_000220835	WP_009749979.1	GCF_000220835.1-HMPREF9062_RS09865	hk	mistdb	491	H_kinase_N:5-137,PAS_4:173-280,HisKA_2:294-367,HATPase_c_2:365-456	H_kinase_N,PAS_4	HATPase_c_2:1,H_kinase_N:1,HisKA_2:1,PAS_4:1	HATPase_c_2,H_kinase_N,HisKA_2,PAS_4
GCF_000220835.1	GCF_000220835	WP_009749530.1	GCF_000220835.1-HMPREF9062_RS07725	hk	mistdb	266	HisKA_3:42-110	nodomain	HisKA_3:1	HisKA_3
GCF_000220835.1	GCF_000220835	WP_009749186.1	GCF_000220835.1-HMPREF9062_RS06040	hk	mistdb	376	hole:1-181,HisKA_3:182-249	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009749175.1	GCF_000220835.1-HMPREF9062_RS05985	hk	mistdb	391	hole:1-194,HisKA_3:195-262	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009749022.1	GCF_000220835.1-HMPREF9062_RS05265	hk	mistdb	462	PspC:62-116,<HisKA>:182-330,HATPase_c_2:331-436	PspC	<HisKA>:1,HATPase_c_2:1,PspC:1	<HisKA>,HATPase_c_2,PspC
GCF_000220835.1	GCF_000220835	WP_009748710.1	GCF_000220835.1-HMPREF9062_RS03800	hk	mistdb	393	hole:1-190,HisKA_3:191-259	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009748575.1	GCF_000220835.1-HMPREF9062_RS03115	hk	mistdb	534	hole:1-189,HAMP:190-241,HisKA:252-318,HATPase_c:371-528	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000220835.1	GCF_000220835	WP_009748531.1	GCF_000220835.1-HMPREF9062_RS02895	hk	mistdb	396	hole:1-114,HAMP:115-165,HisKA:169-236,HATPase_c:279-391	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_000220835.1	GCF_000220835	WP_009748358.1	GCF_000220835.1-HMPREF9062_RS02110	hk	mistdb	370	hole:1-168,HisKA_3:169-234	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_083819996.1	GCF_000220835.1-HMPREF9062_RS02025	hk	mistdb	405	hole:1-187,HisKA_3:188-253	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_009409671.1	GCF_000220835.1-HMPREF9062_RS00680	hk	mistdb	411	hole:1-188,HisKA_3:189-254	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_000220835.1	GCF_000220835	WP_083820071.1	GCF_000220835.1-HMPREF9062_RS00475	hk	mistdb	600	hole:1-312,HisKA:313-382,HATPase_c:442-597	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000220835.1	GCF_000220835	WP_009409608.1	GCF_000220835.1-HMPREF9062_RS00360	hk	mistdb	424	hole:1-151,HisKA:152-218,HATPase_c:263-378	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_000220835.1	GCF_000220835	WP_009748471.1	GCF_000220835.1-HMPREF9062_RS02635	hk	mistdb	293	HisKA:48-110,HATPase_c:153-265	nodomain	HATPase_c:1,HisKA:1	HATPase_c,HisKA
GCF_001278845.1	GCF_001278845	WP_083470945.1	GCF_001278845.1-AM609_RS15185	hk	mistdb	509	hole:1-198,HisKA:199-265,HATPase_c:310-425	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_083470942.1	GCF_001278845.1-AM609_RS16100	hk	mistdb	388	hole:1-174,HisKA_3:175-244	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_083470932.1	GCF_001278845.1-AM609_RS14820	hk	mistdb	507	hole:1-289,HisKA_3:290-366	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053588278.1	GCF_001278845.1-AM609_RS14680	hk	mistdb	507	HATPase_c_3:26-138	HATPase_c_3	HATPase_c_3:1	HATPase_c_3
GCF_001278845.1	GCF_001278845	WP_053588271.1	GCF_001278845.1-AM609_RS14520	hk	mistdb	390	hole:1-169,HisKA_3:170-236	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_083470917.1	GCF_001278845.1-AM609_RS14270	hk	mistdb	349	hole:1-139,HisKA_3:140-208,HATPase_c:240-333	nodomain	HATPase_c:1,HisKA_3:1,hole:1	HATPase_c,HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587734.1	GCF_001278845.1-AM609_RS13885	hk	mistdb	701	hole:1-222,cNMP_binding:223-310,<HisKA>:409-557,HATPase_c:558-690	cNMP_binding	<HisKA>:1,HATPase_c:1,cNMP_binding:1,hole:1	<HisKA>,HATPase_c,cNMP_binding,hole
GCF_001278845.1	GCF_001278845	WP_053587721.1	GCF_001278845.1-AM609_RS13810	hk	mistdb	537	hole:1-200,HisKA_3:201-277	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587713.1	GCF_001278845.1-AM609_RS13745	hk	mistdb	397	hole:1-174,HisKA_3:175-240	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587810.1	GCF_001278845.1-AM609_RS14395	hk	mistdb	807	hole:1-338,HATPase_c:339-439	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_001278845.1	GCF_001278845	WP_053587809.1	GCF_001278845.1-AM609_RS14390	hk	mistdb	783	hole:1-343,HATPase_c:344-442	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_001278845.1	GCF_001278845	WP_083471050.1	GCF_001278845.1-AM609_RS11645	hk	mistdb	387	hole:1-184,HisKA_3:185-253	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587406.1	GCF_001278845.1-AM609_RS11620	hk	mistdb	371	hole:1-169,HisKA_3:170-241	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587330.1	GCF_001278845.1-AM609_RS11110	hk	mistdb	545	hole:1-206,HisKA_3:207-274	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587552.1	GCF_001278845.1-AM609_RS12650	hk	mistdb	616	hole:1-217,HAMP:218-277,HisKA:288-357,HATPase_c:448-616	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_083470855.1	GCF_001278845.1-AM609_RS12615	hk	mistdb	377	hole:1-145,HisKA:146-210,HATPase_c:259-369	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_083470846.1	GCF_001278845.1-AM609_RS12305	hk	mistdb	416	hole:1-127,HAMP:128-178,HisKA:182-249,HATPase_c:292-404	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_083471052.1	GCF_001278845.1-AM609_RS12045	hk	mistdb	474	hole:1-183,HAMP:184-234,HisKA:246-312,HATPase_c:360-472	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_053586988.1	GCF_001278845.1-AM609_RS08820	hk	mistdb	422	hole:1-205,HisKA_3:206-273	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586982.1	GCF_001278845.1-AM609_RS08775	hk	mistdb	468	hole:1-254,HisKA:255-316,HATPase_c:359-468	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_053586970.1	GCF_001278845.1-AM609_RS08690	hk	mistdb	486	H_kinase_N:5-134,hole:135-293,HisKA_2:294-367,HATPase_c_2:362-458	H_kinase_N	HATPase_c_2:1,H_kinase_N:1,HisKA_2:1,hole:1	HATPase_c_2,H_kinase_N,HisKA_2,hole
GCF_001278845.1	GCF_001278845	WP_053587593.1	GCF_001278845.1-AM609_RS12990	hk	mistdb	529	hole:1-226,HisKA_3:227-293	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053587195.1	GCF_001278845.1-AM609_RS10245	hk	mistdb	421	Sensor:21-209,HisKA_3:232-299	Sensor	HisKA_3:1,Sensor:1	HisKA_3,Sensor
GCF_001278845.1	GCF_001278845	WP_049939419.1	GCF_001278845.1-AM609_RS10195	hk	mistdb	351	HAMP:73-123,HisKA:127-191,HATPase_c:236-350	HAMP	HAMP:1,HATPase_c:1,HisKA:1	HAMP,HATPase_c,HisKA
GCF_001278845.1	GCF_001278845	WP_053587186.1	GCF_001278845.1-AM609_RS10150	hk	mistdb	359	hole:1-125,HisKA:126-191,HATPase_c:234-337	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_053587136.1	GCF_001278845.1-AM609_RS09835	hk	mistdb	597	hole:1-206,HAMP:207-251,HisKA:262-330,HATPase_c:376-487	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_053586910.1	GCF_001278845.1-AM609_RS08310	hk	mistdb	373	hole:1-172,HisKA_3:173-244,HATPase_c:282-371	nodomain	HATPase_c:1,HisKA_3:1,hole:1	HATPase_c,HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_083470725.1	GCF_001278845.1-AM609_RS08155	hk	mistdb	464	hole:1-230,HisKA_3:231-296	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586882.1	GCF_001278845.1-AM609_RS08130	hk	mistdb	385	hole:1-188,HisKA_3:189-256	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586877.1	GCF_001278845.1-AM609_RS08100	hk	mistdb	414	hole:1-228,HisKA_3:229-296	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586572.1	GCF_001278845.1-AM609_RS06145	hk	mistdb	440	Sensor:15-182,HisKA_3:215-289,HATPase_c_2:303-409	Sensor	HATPase_c_2:1,HisKA_3:1,Sensor:1	HATPase_c_2,HisKA_3,Sensor
GCF_001278845.1	GCF_001278845	WP_053586492.1	GCF_001278845.1-AM609_RS05625	hk	mistdb	336	HisKA_3:83-149	nodomain	HisKA_3:1	HisKA_3
GCF_001278845.1	GCF_001278845	WP_083470648.1	GCF_001278845.1-AM609_RS05075	hk	mistdb	486	hole:1-196,HisKA_3:197-264	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586403.1	GCF_001278845.1-AM609_RS05050	hk	mistdb	468	hole:1-230,HisKA_3:231-300	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586371.1	GCF_001278845.1-AM609_RS04815	hk	mistdb	484	hole:1-203,HAMP:204-252,HisKA:256-320,HATPase_c:361-472	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_001278845.1	GCF_001278845	WP_083470635.1	GCF_001278845.1-AM609_RS04700	hk	mistdb	670	hole:1-258,GAF_2:259-398,HisKA_3:414-487	GAF_2	GAF_2:1,HisKA_3:1,hole:1	GAF_2,HisKA_3,hole
GCF_001278845.1	GCF_001278845	WP_053586021.1	GCF_001278845.1-AM609_RS02530	hk	mistdb	442	PspC:40-92,<HisKA>:157-305,HATPase_c_2:306-418	PspC	<HisKA>:1,HATPase_c_2:1,PspC:1	<HisKA>,HATPase_c_2,PspC
GCF_001278845.1	GCF_001278845	WP_053587974.1	GCF_001278845.1-AM609_RS02340	hk	mistdb	371	hole:1-171,HisKA_3:172-238	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_002154335.2	GCF_002154335	WP_086614311.1	GCF_002154335.2-BW737_RS08590	hk	mistdb	354	hole:1-153,HisKA_3:154-220	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_002154335.2	GCF_002154335	WP_086614254.1	GCF_002154335.2-BW737_RS08555	hk	mistdb	331	hole:1-215,HATPase_c:216-326	nodomain	HATPase_c:1,hole:1	HATPase_c,hole
GCF_002154335.2	GCF_002154335	WP_086614441.1	GCF_002154335.2-BW737_RS13860	hk	mistdb	446	hole:1-325,HATPase_c_5:326-434	nodomain	HATPase_c_5:1,hole:1	HATPase_c_5,hole
GCF_002154335.2	GCF_002154335	WP_086614573.1	GCF_002154335.2-BW737_RS02770	hk	mistdb	477	cNMP_binding:1-87,hole:88-189,<HisKA>:190-338,HATPase_c:339-461	cNMP_binding	<HisKA>:1,HATPase_c:1,cNMP_binding:1,hole:1	<HisKA>,HATPase_c,cNMP_binding,hole
GCF_002154335.2	GCF_002154335	WP_086614876.1	GCF_002154335.2-BW737_RS01220	hk	mistdb	520	hole:1-213,HisKA_3:214-281	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_002154335.2	GCF_002154335	WP_086615086.1	GCF_002154335.2-BW737_RS04430	hk	mistdb	547	hole:1-220,HAMP:221-272,HisKA:283-349,HATPase_c:398-539	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_002154335.2	GCF_002154335	WP_086615253.1	GCF_002154335.2-BW737_RS09725	hk	mistdb	593	hole:1-201,HAMP:202-251,HisKA:262-330,HATPase_c:376-487	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_002154335.2	GCF_002154335	WP_086615397.1	GCF_002154335.2-BW737_RS00750	hk	mistdb	212	HisKA_3:2-62	nodomain	HisKA_3:1	HisKA_3
GCF_002154335.2	GCF_002154335	WP_086615513.1	GCF_002154335.2-BW737_RS14230	hk	mistdb	359	hole:1-125,HisKA:126-191,HATPase_c:233-336	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_002154335.2	GCF_002154335	WP_086615624.1	GCF_002154335.2-BW737_RS05335	hk	mistdb	313	HisKA:77-141,HATPase_c:190-299	nodomain	HATPase_c:1,HisKA:1	HATPase_c,HisKA
GCF_002154335.2	GCF_002154335	WP_086615623.1	GCF_002154335.2-BW737_RS05300	hk	mistdb	525	hole:1-203,HAMP:204-263,HisKA:274-343,HATPase_c:403-518	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_002154335.2	GCF_002154335	WP_086615726.1	GCF_002154335.2-BW737_RS03390	hk	mistdb	356	hole:1-185,HisKA_3:186-252	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_002154335.2	GCF_002154335	WP_086615870.1	GCF_002154335.2-BW737_RS14355	hk	mistdb	498	hole:1-186,HAMP:187-236,HisKA:240-304,HATPase_c:345-482	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_002999235.1	GCF_002999235	WP_106110851.1	GCF_002999235.1-C3V41_RS11975	hk	mistdb	386	HAMP:96-146,HisKA:150-217,HATPase_c:259-371	HAMP	HAMP:1,HATPase_c:1,HisKA:1	HAMP,HATPase_c,HisKA
GCF_002999235.1	GCF_002999235	WP_106110813.1	GCF_002999235.1-C3V41_RS10510	hk	mistdb	493	hole:1-128,HisKA_3:129-196	nodomain	HisKA_3:1,hole:1	HisKA_3,hole
GCF_002999235.1	GCF_002999235	WP_106110181.1	GCF_002999235.1-C3V41_RS10320	hk	mistdb	607	hole:1-245,HAMP:246-297,HisKA:308-374,HATPase_c:423-606	HAMP	HAMP:1,HATPase_c:1,HisKA:1,hole:1	HAMP,HATPase_c,HisKA,hole
GCF_002999235.1	GCF_002999235	WP_106110804.1	GCF_002999235.1-C3V41_RS10270	hk	mistdb	532	hole:1-286,HisKA:287-356,HATPase_c:414-530	nodomain	HATPase_c:1,HisKA:1,hole:1	HATPase_c,HisKA,hole
GCF_002999235.1	GCF_002999235	WP_106110528.1	GCF_002999235.1-C3V41_RS12530	hk	mistdb	476	H_kinase_N:1-134,PAS_4:162-269,HisKA_2:283-354,HATPase_c:377-473	H_kinase_N,PAS_4	HATPase_c:1,H_kinase_N:1,HisKA_2:1,PAS_4:1	HATPase_c,H_kinase_N,HisKA_2,PAS_4
